,name,watchtime,budget,weekend_gross_us_canada,weekend_date
93,John Wick: Chapter 2,122.0,40000000.0,30436123.0,2017-2-12
94,Vice,132.0,60000000.0,7768371.0,2018-12-30
95,The Wretched,95.0,1200000.0,65908.0,2020-5-3
96,The Shape of Water,123.0,19400000.0,166564.0,2017-12-3
97,Terminator: Dark Fate,128.0,185000000.0,29033832.0,2019-11-3
98,Hell or High Water,102.0,12000000.0,621329.0,2016-8-14
99,Downton Abbey,122.0,13000000.0,31033665.0,2019-9-22
100,Transformers: The Last Knight,154.0,217000000.0,44680073.0,2017-6-25
101,Aquaman,143.0,160000000.0,67873522.0,2018-12-23
102,The Lion King,118.0,260000000.0,191770759.0,2019-7-21
103,Captain Fantastic,118.0,5000000.0,93824.0,2016-7-10
104,Zombieland: Double Tap,99.0,42000000.0,26803104.0,2019-10-20
105,Coco,105.0,175000000.0,50802605.0,2017-11-26
106,10 Cloverfield Lane,103.0,15000000.0,24727437.0,2016-3-13
107,Red Sparrow,140.0,69000000.0,16853422.0,2018-3-4
108,Justice League,120.0,300000000.0,93842239.0,2017-11-19
109,"I, Tonya",119.0,11000000.0,264155.0,2017-12-10
110,Downsizing,135.0,68000000.0,4954287.0,2017-12-24
111,Aladdin,128.0,183000000.0,91500929.0,2019-5-26
112,Fast & Furious Presents: Hobbs & Shaw,137.0,200000000.0,60038950.0,2019-8-4
113,Kingsman: The Golden Circle,141.0,104000000.0,39023010.0,2017-9-24
114,Ghostbusters,117.0,144000000.0,46018755.0,2016-7-17
115,X-Men: Apocalypse,144.0,178000000.0,65769562.0,2016-5-29
116,Phantom Thread,130.0,35000000.0,216495.0,2017-12-31
117,Fifty Shades Freed,105.0,55000000.0,38560195.0,2018-2-11
118,The Meg,113.0,130000000.0,45402195.0,2018-8-12
119,Crazy Rich Asians,120.0,30000000.0,26510140.0,2018-8-19
120,12 Strong,130.0,35000000.0,15815025.0,2018-1-21
121,The Disaster Artist,104.0,10000000.0,1211345.0,2017-12-3
122,Atomic Blonde,115.0,30000000.0,18286420.0,2017-7-30
123,Den of Thieves,140.0,30000000.0,15206108.0,2018-1-21
124,Lady Bird,94.0,10000000.0,364437.0,2017-11-5
125,13 Hours,144.0,50000000.0,16194738.0,2016-1-17
126,The Outpost,123.0,18000000.0,31042.0,2020-7-5
127,The Shallows,86.0,17000000.0,16800868.0,2016-6-26
128,A Simple Favor,117.0,20000000.0,16011689.0,2018-9-16
129,Beautiful Boy,120.0,25000000.0,218888.0,2018-10-14
130,Life,104.0,58000000.0,12501936.0,2017-3-26
131,The Conjuring 2,134.0,40000000.0,40406314.0,2016-6-12
132,Booksmart,102.0,6000000.0,6933620.0,2019-5-26
133,Only the Brave,134.0,38000000.0,6002665.0,2017-10-22
134,Toy Story 4,100.0,200000000.0,120908065.0,2019-6-23
135,Richard Jewell,131.0,45000000.0,4705265.0,2019-12-15
136,King Arthur: Legend of the Sword,126.0,175000000.0,15371270.0,2017-5-14
137,Ad Astra,123.0,90000000.0,19001398.0,2019-9-22
138,The Hitman's Bodyguard,118.0,30000000.0,21384504.0,2017-8-20
139,Mamma Mia! Here We Go Again,114.0,75000000.0,34952180.0,2018-7-22
140,Gods of Egypt,127.0,140000000.0,14123903.0,2016-2-28
141,Midway,138.0,100000000.0,17897419.0,2019-11-10
142,The Addams Family,86.0,24000000.0,30300007.0,2019-10-13
143,Truth or Dare,100.0,3500000.0,18667855.0,2018-4-15
144,Molly's Game,140.0,30000000.0,2349967.0,2017-12-31
145,Glass,129.0,20000000.0,40328920.0,2019-1-20
146,My Big Fat Greek Wedding 2,94.0,18000000.0,17861950.0,2016-3-27
147,Bad Times at the El Royale,141.0,32000000.0,7132647.0,2018-10-14
148,The Favourite,119.0,15000000.0,422410.0,2018-11-25
149,The Peanut Butter Falcon,97.0,6200000.0,204793.0,2019-8-11
150,Miss Peregrine's Home for Peculiar Children,127.0,110000000.0,28871140.0,2016-10-2
151,Moonlight,111.0,4000000.0,402075.0,2016-10-23
152,Manchester by the Sea,137.0,9000000.0,256498.0,2016-11-20
153,Hellboy,120.0,50000000.0,12045147.0,2019-4-14
154,Charlie's Angels,118.0,48000000.0,8351109.0,2019-11-17
155,Darkest Hour,125.0,30000000.0,175006.0,2017-11-26
156,Mortal Engines,128.0,100000000.0,7559850.0,2018-12-16
157,The Nun,96.0,22000000.0,53807379.0,2018-9-9
158,Overlord,110.0,38000000.0,10202108.0,2018-11-11
159,X-Men: Dark Phoenix,113.0,200000000.0,32828348.0,2019-6-9
160,Fighting with My Family,108.0,11000000.0,138780.0,2019-2-17
161,Warcraft: The Beginning,123.0,160000000.0,24166110.0,2016-6-12
162,Bombshell,109.0,32000000.0,319157.0,2019-12-15
163,Mandy,121.0,6000000.0,225723.0,2018-9-16
164,Disobedience,114.0,6000000.0,237393.0,2018-4-29
165,The Magnificent Seven,132.0,90000000.0,34703397.0,2016-9-25
166,Central Intelligence,107.0,50000000.0,35535250.0,2016-6-19
167,Now You See Me 2,129.0,90000000.0,22383146.0,2016-6-12
168,Cats,110.0,95000000.0,6619870.0,2019-12-22
169,The Girl on the Train,112.0,45000000.0,24536265.0,2016-10-9
170,The Goldfinch,149.0,45000000.0,2679027.0,2019-9-15
171,Valerian and the City of a Thousand Planets,136.0,177200000.0,17007624.0,2017-7-23
172,Tomb Raider,119.0,94000000.0,23633317.0,2018-3-18
173,Power Rangers,124.0,100000000.0,40300288.0,2017-3-26
174,Mid90s,85.0,1700000.0,258157.0,2018-10-21
175,Incredibles 2,118.0,200000000.0,182687905.0,2018-6-17
176,Mary Queen of Scots,124.0,25000000.0,194777.0,2018-12-9
177,Fast & Furious 8,136.0,250000000.0,98786705.0,2017-4-16
178,Don't Breathe,88.0,9900000.0,26411706.0,2016-8-28
179,Sicario: Day of the Soldado,122.0,35000000.0,19007566.0,2018-7-1
180,Jason Bourne,123.0,120000000.0,59215365.0,2016-7-31
181,The Legend of Tarzan,110.0,180000000.0,38527856.0,2016-7-3
182,The Mule,116.0,50000000.0,17509431.0,2018-12-16
183,Instant Family,118.0,48000000.0,14504315.0,2018-11-18
184,American Assassin,111.0,33000000.0,14846778.0,2017-9-17
185,Good Time,102.0,4500000.0,125101.0,2017-8-13
186,Lion,118.0,12000000.0,123360.0,2016-11-27
187,Sorry to Bother You,112.0,3200000.0,727266.0,2018-7-8
188,The Neon Demon,117.0,7000000.0,589014.0,2016-6-26
189,Ant-Man and the Wasp,118.0,162000000.0,75812205.0,2018-7-8
190,Allied,124.0,85000000.0,12701743.0,2016-11-27
191,Godzilla II: King of the Monsters,132.0,170000000.0,47776293.0,2019-6-2
192,Escape Room,99.0,9000000.0,18238172.0,2019-1-6
193,The 15:17 to Paris,94.0,30000000.0,12554286.0,2018-2-11
194,Under the Silver Lake,139.0,8500000.0,35270.0,2019-4-21
195,Five Feet Apart,116.0,7000000.0,13190286.0,2019-3-17
196,CHIPS,100.0,25000000.0,7722802.0,2017-3-26
197,Swiss Army Man,97.0,3000000.0,105453.0,2016-6-26
198,Game Night,100.0,37000000.0,17005332.0,2018-2-25
199,Stronger,119.0,30000000.0,1611040.0,2017-9-24
200,BlacKkKlansman,135.0,15000000.0,10845330.0,2018-8-12
201,Yesterday,116.0,26000000.0,17010050.0,2019-6-30
202,Gifted,101.0,7000000.0,446380.0,2017-4-9
203,Upgrade,100.0,5000000.0,4670905.0,2018-6-3
204,Kong: Skull Island,118.0,185000000.0,61025472.0,2017-3-12
205,Paddington 2,103.0,40000000.0,11001961.0,2018-1-14
206,The Secret Life of Pets,87.0,75000000.0,104352905.0,2016-7-10
207,First Man,141.0,59000000.0,16006065.0,2018-10-14
208,The Snowman,119.0,35000000.0,3372565.0,2017-10-22
209,Silence,161.0,46000000.0,130880.0,2016-12-25
210,Logan Lucky,118.0,29000000.0,7600036.0,2017-8-20
211,Jack Reacher: Never Go Back,118.0,60000000.0,22872490.0,2016-10-23
212,Kung Fu Panda 3,95.0,145000000.0,41282042.0,2016-1-31
213,The Boy,97.0,10000000.0,10778392.0,2016-1-24
214,Despicable Me 3,89.0,80000000.0,72434025.0,2017-7-2
215,Rampage: Big Meets Bigger,107.0,120000000.0,35753093.0,2018-4-15
216,The Lost City of Z,141.0,30000000.0,110175.0,2017-4-16
217,Geostorm,109.0,120000000.0,13707376.0,2017-10-22
218,Sausage Party,89.0,19000000.0,34263534.0,2016-8-14
219,Bumblebee,114.0,135000000.0,21654047.0,2018-12-23
220,The Huntsman: Winter's War,114.0,115000000.0,19445035.0,2016-4-24
221,Frozen II,103.0,150000000.0,130263358.0,2019-11-24
222,Cars 3,102.0,175000000.0,53688680.0,2017-6-18
223,Deepwater Horizon,107.0,110000000.0,20223544.0,2016-10-2
224,Halloween,106.0,10000000.0,76221545.0,2018-10-21
225,Sully,96.0,60000000.0,35028301.0,2016-9-11
226,Ghost in the Shell,107.0,110000000.0,18676033.0,2017-4-2
227,Adrift,96.0,35000000.0,11603039.0,2018-6-3
228,The Founder,115.0,25000000.0,3404102.0,2017-1-22
229,The Accountant,128.0,44000000.0,24710273.0,2016-10-16
230,Spies in Disguise,102.0,100000000.0,13354798.0,2019-12-29
231,The Florida Project,111.0,2000000.0,157553.0,2017-10-8
232,Rambo: Last Blood,89.0,50000000.0,18872919.0,2019-9-22
233,The 5th Wave,112.0,38000000.0,10326356.0,2016-1-24
234,Countdown,90.0,6500000.0,8865082.0,2019-10-27
235,Mechanic: Resurrection,98.0,40000000.0,7456525.0,2016-8-28
