,name,watchtime,budget,weekend_gross_us_canada,weekend_date,vader_sentiment,text_blob_polarity,text_blob_subjectivity,popularity,weekend_roi
38,Jurassic World: Fallen Kingdom,128.0,170000000.0,148024610.0,2018-6-24,-0.20074498915529712,0.035380798220354184,0.2586516250385235,2748.0,0.870733
39,The Greatest Showman,105.0,84000000.0,8805843.0,2017-12-24,0.5438678190275673,0.6486786267454601,0.7527086820085458,631.0,0.10483146428571428
40,Guardians of the Galaxy Vol. 2,136.0,200000000.0,146510104.0,2017-5-7,0.07502741789976596,0.06871219113234346,0.18759583330039584,8608.0,0.73255052
41,Nocturnal Animals,116.0,22500000.0,492648.0,2016-11-20,0.010886543014322552,0.05621012849733511,0.3530335224475138,355.0,0.021895466666666665
42,Arrival,116.0,47000000.0,24074047.0,2016-11-13,0.07483957257794616,0.07742147321533396,0.3261259324354757,14118.0,0.5122137659574468
43,Passengers,116.0,110000000.0,14869736.0,2016-12-25,-0.002692481518935804,0.048014342982390705,0.315736360623835,37305.0,0.1351794181818182
44,Split,117.0,9000000.0,40010975.0,2017-1-22,0.05756101540606217,0.05157853120341012,0.30710259035707227,55043.0,4.445663888888889
45,Vaiana,107.0,150000000.0,56631401.0,2016-11-27,0.21861333333333333,0.1241958273208273,0.2349798581048581,13.0,0.37754267333333336
46,Jumanji: The Next Level,123.0,125000000.0,59251543.0,2019-12-15,0.09805031666666666,0.03361794612794612,0.11874020382395382,102.0,0.474012344
47,Sing,108.0,75000000.0,35258145.0,2016-12-25,0.09788779944341613,0.05943299949509779,0.2865040363887571,17344.0,0.4701086
48,War Dogs,114.0,40000000.0,14685305.0,2016-8-21,-0.26196609513499863,0.06307628154169774,0.2995609318382546,1153.0,0.367132625
49,The Great Wall,103.0,150000000.0,18469620.0,2017-2-19,0.11831469471436604,0.12621265590095418,0.37664460415593837,44123.0,0.1231308
50,Captain Marvel,123.0,160000000.0,153433423.0,2019-3-10,0.29074349985945,0.031974236447322925,0.17933778385793187,149223.0,0.95895889375
51,Hidden Figures,127.0,25000000.0,515499.0,2016-12-25,0.15017564098129554,-0.04841869928918634,0.34292460351128085,2462.0,0.02061996
52,The Mummy,111.0,125000000.0,31688375.0,2017-6-11,-0.03620810590036966,-0.010539380656111524,0.31298151555636694,57164.0,0.253507
53,Spider-Man: Far from Home,129.0,160000000.0,92579212.0,2019-7-7,0.09976917521907247,0.1004302440087935,0.7035223005759644,72957.0,0.578620075
54,Pirates of the Caribbean: Salazar's Revenge,129.0,230000000.0,62983253.0,2017-5-28,-0.36167083333333333,0.04177489177489178,0.18141233766233766,266.0,0.2738402304347826
55,Uncut Gems,135.0,19000000.0,537242.0,2019-12-15,0.10736020025375288,-0.19916120637796278,0.6025713623424948,74.0,0.028275894736842104
56,Zootropolis,108.0,150000000.0,75063401.0,2016-3-6,0.05191190476190476,0.028174603174603175,0.08389550264550265,6.0,0.5004226733333333
57,Fantastic Beasts: The Crimes of Grindelwald,134.0,200000000.0,62163104.0,2018-11-18,0.38489312557125516,0.26197604284070064,0.6705171891994116,100.0,0.31081552
58,A Quiet Place,90.0,17000000.0,50203562.0,2018-4-8,0.04554077350342539,0.05225334773811433,0.34275429853515377,29067.0,2.953150705882353
59,John Wick: Chapter 3 - Parabellum,130.0,75000000.0,56818067.0,2019-5-19,0.09144143855920732,0.10053872751667771,0.2350529363151369,11170.0,0.7575742266666666
60,Wonder Woman,141.0,149000000.0,103251471.0,2017-6-4,0.08717280183475763,0.09325097537176431,0.34258184882972637,136458.0,0.6929628926174497
61,Captain America: Civil War,147.0,250000000.0,179139142.0,2016-5-8,-0.320374496645653,0.047742932175279466,0.2192684485169977,12024.0,0.716556568
62,Shazam!,132.0,100000000.0,53505326.0,2019-4-7,0.10792464948898402,0.05225406996497069,0.28760003436445947,12556.0,0.53505326
63,Venom,112.0,100000000.0,80255756.0,2018-10-7,0.10425627719938775,0.10282455189979085,0.319249719004324,12060.0,0.80255756
64,Hustlers,110.0,20000000.0,33181361.0,2019-9-15,0.20458059728743483,0.13810265434332433,0.31044097678147237,4669.0,1.65906805
65,Beauty and the Beast,129.0,160000000.0,174750616.0,2017-3-19,0.34936356797228446,0.0868509520956685,0.3011280862573454,89591.0,1.09219135
66,Fifty Shades Darker,118.0,55000000.0,46607250.0,2017-2-12,-0.024178318813033752,-0.005252906051788631,0.26290430822116745,2740.0,0.8474045454545455
67,Jumanji: Welcome to the Jungle,119.0,90000000.0,36169328.0,2017-12-24,0.479097038571029,0.488268173346224,0.6533241452592016,32407.0,0.40188142222222223
68,Wonder,113.0,20000000.0,27547866.0,2017-11-19,0.01979432385124209,0.06893672675149574,0.28934601101790225,231031.0,1.3773933
